virus	strain	age_of_infection
B	B/PERTH/100/2008	1
B	B/PERTH/111/2010	1
B	B/PERTH/115/2008	1
B	B/PERTH/119/2008	1
B	B/PERTH/133/2010	1
B	B/PERTH/140/2008	1
B	B/PERTH/153/2008	1
B	B/PERTH/158/2008	1
B	B/PERTH/176/2010	1
B	B/PERTH/201/2001	1
B	B/PERTH/202/2000	1
B	B/PERTH/202/2006	1
B	B/PERTH/203/2001	1
B	B/PERTH/208/2000	1
B	B/PERTH/209/2010	1
B	B/PERTH/210/2006	1
B	B/PERTH/211/2006	1
B	B/PERTH/212/2000	1
B	B/PERTH/215/2000	1
B	B/PERTH/217/2001	1
B	B/PERTH/219/2006	1
B	B/PERTH/220/2006	1
B	B/PERTH/221/2006	1
B	B/PERTH/240/2006	1
B	B/PERTH/245/2010	1
B	B/PERTH/247/2006	1
B	B/PERTH/273/2008	1
B	B/PERTH/284/2010	1
B	B/PERTH/301/2010	1
B	B/PERTH/309/2010	1
B	B/PERTH/42/2008	1
B	B/PERTH/43/2008	1
B	B/PERTH/49B/2008	1
B	B/PERTH/50/2008	1
B	B/PERTH/503/2010	1
B	B/PERTH/509/2010	1
B	B/PERTH/89/2010	1
B	B/SOUTHAUSTRALIA/10/2001	1
B	B/SOUTHAUSTRALIA/10/2002	1
B	B/SOUTHAUSTRALIA/101/2008	1
B	B/SOUTHAUSTRALIA/104/2008	1
B	B/SOUTHAUSTRALIA/118/2008	1
B	B/SOUTHAUSTRALIA/119/2008	1
B	B/SOUTHAUSTRALIA/12/2005	1
B	B/SOUTHAUSTRALIA/125/2008	1
B	B/SOUTHAUSTRALIA/13/2001	1
B	B/SOUTHAUSTRALIA/14/2001	1
B	B/SOUTHAUSTRALIA/15/2002	1
B	B/SOUTHAUSTRALIA/159/2002	1
B	B/SOUTHAUSTRALIA/17/2001	1
B	B/SOUTHAUSTRALIA/17/2002	1
B	B/SOUTHAUSTRALIA/19/2001	1
B	B/SOUTHAUSTRALIA/20/2004	1
B	B/SOUTHAUSTRALIA/201/2008	1
B	B/SOUTHAUSTRALIA/202/2008	1
B	B/SOUTHAUSTRALIA/21/2001	1
B	B/SOUTHAUSTRALIA/21/2002	1
B	B/SOUTHAUSTRALIA/217/2008	1
B	B/SOUTHAUSTRALIA/219/2008	1
B	B/SOUTHAUSTRALIA/22/2006	1
B	B/SOUTHAUSTRALIA/223/2008	1
B	B/SOUTHAUSTRALIA/224/2008	1
B	B/SOUTHAUSTRALIA/23/2005	1
B	B/SOUTHAUSTRALIA/233/2008	1
B	B/SOUTHAUSTRALIA/237/2008	1
B	B/SOUTHAUSTRALIA/24/2006	1
B	B/SOUTHAUSTRALIA/241/2008	1
B	B/SOUTHAUSTRALIA/243/2008	1
B	B/SOUTHAUSTRALIA/246/2008	1
B	B/SOUTHAUSTRALIA/253/2008	1
B	B/SOUTHAUSTRALIA/26/2001	1
B	B/SOUTHAUSTRALIA/27/2001	1
B	B/SOUTHAUSTRALIA/3/2005	1
B	B/SOUTHAUSTRALIA/30/2005	1
B	B/SOUTHAUSTRALIA/34/2005	1
B	B/SOUTHAUSTRALIA/40/2008	1
B	B/SOUTHAUSTRALIA/45/2005	1
B	B/SOUTHAUSTRALIA/47/2005	1
B	B/SOUTHAUSTRALIA/50/2005	1
B	B/SOUTHAUSTRALIA/51/2008	1
B	B/SOUTHAUSTRALIA/52/2005	1
B	B/SOUTHAUSTRALIA/59/2005	1
B	B/SOUTHAUSTRALIA/6/2005	1
B	B/SOUTHAUSTRALIA/6/2008	1
B	B/SOUTHAUSTRALIA/68/2008	1
B	B/SOUTHAUSTRALIA/7/2008	1
B	B/SOUTHAUSTRALIA/8/2002	1
B	B/SOUTHAUSTRALIA/82/2008	1
B	B/SYDNEY/1/2000	1
B	B/SYDNEY/10/2002	1
B	B/SYDNEY/10/2006	1
B	B/SYDNEY/109/2008	1
B	B/SYDNEY/13/2005	1
B	B/SYDNEY/15/2000	1
B	B/SYDNEY/15/2006	1
B	B/SYDNEY/17/2002	1
B	B/SYDNEY/17/2006	1
B	B/SYDNEY/19/2002	1
B	B/SYDNEY/2/2000	1
B	B/SYDNEY/213/2002	1
B	B/SYDNEY/213/2002	1
B	B/SYDNEY/217/2000	1
B	B/SYDNEY/219/2000	1
B	B/SYDNEY/219/2002	1
B	B/SYDNEY/221/2000	1
B	B/SYDNEY/27/2008	1
B	B/SYDNEY/31/2008	1
B	B/SYDNEY/39/2008	1
B	B/SYDNEY/4/2000	1
B	B/SYDNEY/4/2000	1
B	B/SYDNEY/48/2008	1
B	B/SYDNEY/5/2002	1
B	B/SYDNEY/505/2007	1
B	b/sydney/508/2008	1
B	B/SYDNEY/51/2002	1
B	b/sydney/510/2008	1
B	B/SYDNEY/511/2006	1
B	B/SYDNEY/518/2008	1
B	B/SYDNEY/530/2008	1
B	B/SYDNEY/539/2008	1
B	B/SYDNEY/56/2008	1
B	B/SYDNEY/63/2008	1
B	B/SYDNEY/69/2002	1
B	B/SYDNEY/75/2008	1
B	B/SYDNEY/78/2008	1
B	B/SYDNEY/8/2002	1
B	B/SYDNEY/8/2006	1
B	B/SYDNEY/83/2006	1
B	B/SYDNEY/83/2008	1
B	B/SYDNEY/84/2008	1
B	B/SYDNEY/86/2008	1
B	B/SYDNEY/89/2008	1
B	B/TOWNSVILLE/2/2006	1
B	B/TOWNSVILLE/5/2011	1
B	B/TOWNSVILLE/6/2008	1
B	B/TOWNSVILLE/7/2002	1
B	B/VICTORIA/116/2005	1
B	B/VICTORIA/301/2000	1
B	B/VICTORIA/301/2004	1
B	B/VICTORIA/301/2004	1
B	B/VICTORIA/302/2000	1
B	B/VICTORIA/310/2000	1
B	B/VICTORIA/312/2000	1
B	B/VICTORIA/315/2000	1
B	B/VICTORIA/344/2002	1
B	B/VICTORIA/345/2002	1
B	B/VICTORIA/346/2002	1
B	B/VICTORIA/348/2002	1
B	B/VICTORIA/412/2002	1
B	B/VICTORIA/413/2002	1
B	B/VICTORIA/502/2000	1
B	B/VICTORIA/502/2000	1
B	B/VICTORIA/504/2010	1
B	B/VICTORIA/509/2008	1
B	B/VICTORIA/512/2000	1
B	B/VICTORIA/516/2000	1
B	B/VICTORIA/517/2000	1
B	B/VICTORIA/521/2000	1
B	B/VICTORIA/524/2005	1
B	B/VICTORIA/537/2000	1
B	B/VICTORIA/537/2000	1
B	B/SYDNEY/71/2008	1.2
B	B/VICTORIA/3/2001	1.2
B	B/SYDNEY/68/2002	1.4
B	B/SYDNEY/509/2006	1.5
B	B/SYDNEY/61/2008	1.5
B	B/SYDNEY/62/2008	1.5
B	B/SYDNEY/79/2008	1.5
B	B/SYDNEY/87/2008	1.5
B	B/TOWNSVILLE/14/2002	1.5
B	B/TOWNSVILLE/16/2002	1.5
B	B/BRISBANE/1/2000	2
B	B/BRISBANE/1/2000	2
B	B/BRISBANE/101/2008	2
B	B/BRISBANE/114/2008	2
B	B/BRISBANE/14/2001	2
B	B/BRISBANE/144/2008	2
B	B/BRISBANE/16/2006	2
B	B/BRISBANE/16/2007	2
B	B/BRISBANE/164/2008	2
B	B/BRISBANE/167/2008	2
B	B/BRISBANE/2/2004	2
B	B/BRISBANE/2/2010	2
B	B/BRISBANE/21/2002	2
B	B/BRISBANE/21/2010	2
B	B/BRISBANE/26/2005	2
B	B/BRISBANE/26/2007	2
B	B/BRISBANE/27/2000	2
B	B/BRISBANE/28/2002	2
B	B/BRISBANE/28/2008	2
B	B/BRISBANE/29/2005	2
B	B/BRISBANE/29/2008	2
B	B/BRISBANE/3/2005	2
B	B/BRISBANE/31/2000	2
B	B/BRISBANE/33/2002	2
B	B/BRISBANE/33/2005	2
B	B/BRISBANE/34/2000	2
B	B/BRISBANE/4/2000	2
B	B/BRISBANE/42/2000	2
B	B/BRISBANE/46/2002	2
B	B/BRISBANE/49/2005	2
B	B/BRISBANE/5/2001	2
B	B/BRISBANE/55/2008	2
B	B/BRISBANE/60/2005	2
B	B/BRISBANE/68/2005	2
B	B/BRISBANE/7/2006	2
B	B/BRISBANE/7/2010	2
B	B/BRISBANE/76/2005	2
B	B/BRISBANE/78/2006	2
B	B/BRISBANE/83/2005	2
B	B/BRISBANE/87/2008	2
B	B/BRISBANE/89/2005	2
B	B/BRISBANE/93/2006	2
B	B/BRISBANE/95/2005	2
B	B/BRISBANE/99/2005	2
B	B/PERTH/116/2008	2
B	B/PERTH/130/2010	2
B	B/PERTH/135/2008	2
B	B/PERTH/211/2008	2
B	B/PERTH/215/2010	2
B	B/PERTH/216/2001	2
B	B/PERTH/216/2006	2
B	B/PERTH/220/2001	2
B	B/PERTH/241/2002	2
B	B/PERTH/243/2010	2
B	B/PERTH/296/2010	2
B	B/PERTH/308/2010	2
B	B/PERTH/324/2010	2
B	B/PERTH/350/2010	2
B	B/PERTH/48/2008	2
B	B/PERTH/508/2010	2
B	B/PERTH/77/2008	2
B	B/PERTH/82/2010	2
B	B/PERTH/85/2008	2
B	B/SOUTHAUSTRALIA/11/2001	2
B	B/SOUTHAUSTRALIA/115/2008	2
B	B/SOUTHAUSTRALIA/13/2002	2
B	B/SOUTHAUSTRALIA/136/2008	2
B	B/SOUTHAUSTRALIA/15/2001	2
B	B/SOUTHAUSTRALIA/158/2002	2
B	B/SOUTHAUSTRALIA/16/2008	2
B	B/SOUTHAUSTRALIA/160/2002	2
B	B/SOUTHAUSTRALIA/18/2002	2
B	B/SOUTHAUSTRALIA/187/2008	2
B	B/SOUTHAUSTRALIA/194/2008	2
B	B/SOUTHAUSTRALIA/2/2001	2
B	B/SOUTHAUSTRALIA/214/2008	2
B	B/SOUTHAUSTRALIA/215/2008	2
B	B/SOUTHAUSTRALIA/22/2001	2
B	B/SOUTHAUSTRALIA/23/2002	2
B	B/SOUTHAUSTRALIA/256/2008	2
B	B/SOUTHAUSTRALIA/26/2002	2
B	B/SOUTHAUSTRALIA/29/2001	2
B	B/SOUTHAUSTRALIA/42/2008	2
B	B/SOUTHAUSTRALIA/44/2005	2
B	B/SOUTHAUSTRALIA/46/2005	2
B	B/SOUTHAUSTRALIA/49/2008	2
B	B/SOUTHAUSTRALIA/61/2005	2
B	B/SOUTHAUSTRALIA/66/2008	2
B	B/SYDNEY/105/2008	2
B	B/SYDNEY/11/2006	2
B	B/SYDNEY/12/2002	2
B	B/SYDNEY/18/2006	2
B	B/SYDNEY/2/2004	2
B	B/SYDNEY/2/2005	2
B	B/SYDNEY/21/2002	2
B	B/SYDNEY/214/2002	2
B	B/SYDNEY/214/2002	2
B	B/SYDNEY/25/2002	2
B	B/SYDNEY/35/2002	2
B	B/SYDNEY/5/2004	2
B	B/SYDNEY/508/2010	2
B	B/SYDNEY/510/2006	2
B	b/sydney/511/2008	2
B	B/SYDNEY/541-a/2008	2
B	B/SYDNEY/543/2008	2
B	B/SYDNEY/544-a/2008	2
B	B/SYDNEY/55/2008	2
B	B/SYDNEY/58/2008	2
B	B/SYDNEY/6/2002	2
B	B/SYDNEY/60/2008	2
B	B/SYDNEY/65/2008	2
B	B/SYDNEY/68/2008	2
B	B/SYDNEY/7/2000	2
B	B/SYDNEY/74/2008	2
B	B/SYDNEY/77/2008	2
B	B/SYDNEY/79/2006	2
B	B/SYDNEY/88/2008	2
B	B/SYDNEY/90/2008	2
B	B/SYDNEY/99/2008	2
B	B/TOWNSVILLE/1/2006	2
B	B/TOWNSVILLE/5/2008	2
B	B/VICTORIA/302/2004	2
B	B/VICTORIA/303/2004	2
B	B/VICTORIA/305/2004	2
B	B/VICTORIA/307/2006	2
B	B/VICTORIA/313/2000	2
B	B/VICTORIA/323/2000	2
B	B/VICTORIA/326/2006	2
B	B/VICTORIA/328/2000	2
B	B/VICTORIA/330/2006	2
B	B/VICTORIA/349/2002	2
B	B/VICTORIA/353/2002	2
B	B/VICTORIA/354/2002	2
B	B/VICTORIA/505/2005	2
B	B/VICTORIA/505/2008	2
B	B/VICTORIA/522/2005	2
B	B/VICTORIA/523/2008	2
B	B/VICTORIA/531/2000	2
B	B/VICTORIA/532/2000	2
B	B/VICTORIA/532/2005	2
B	B/BRISBANE/104/2008	3
B	B/BRISBANE/13/2000	3
B	B/BRISBANE/13/2005	3
B	B/BRISBANE/135/2008	3
B	B/BRISBANE/19/2011	3
B	B/BRISBANE/20/2000	3
B	B/BRISBANE/23/2002	3
B	B/BRISBANE/25/2000	3
B	B/BRISBANE/3/2008	3
B	B/BRISBANE/30/2005	3
B	B/BRISBANE/31/2008	3
B	B/BRISBANE/36/2002	3
B	B/BRISBANE/37/2005	3
B	B/BRISBANE/40/2002	3
B	B/BRISBANE/5/2011	3
B	B/BRISBANE/59/2008	3
B	B/BRISBANE/8/2005	3
B	B/BRISBANE/86/2008	3
B	B/PERTH/102/2008	3
B	B/PERTH/138/2008	3
B	B/PERTH/195/2008	3
B	B/PERTH/200/2008	3
B	B/PERTH/204/2008	3
B	B/PERTH/205/2000	3
B	B/PERTH/208/2001	3
B	B/PERTH/210/2001	3
B	B/PERTH/222/2006	3
B	B/PERTH/225/2008	3
B	B/PERTH/231/2008	3
B	B/PERTH/233/2010	3
B	B/PERTH/235/2008	3
B	B/PERTH/244/2006	3
B	B/PERTH/276/2010	3
B	B/PERTH/288/2010	3
B	B/PERTH/294/2010	3
B	B/PERTH/380/2010	3
B	B/PERTH/504/2010	3
B	B/PERTH/64/2008	3
B	B/PERTH/71/2008	3
B	B/SOUTHAUSTRALIA/11/2005	3
B	B/SOUTHAUSTRALIA/123/2008	3
B	B/SOUTHAUSTRALIA/124/2008	3
B	B/SOUTHAUSTRALIA/14/2002	3
B	B/SOUTHAUSTRALIA/154/2008	3
B	B/SOUTHAUSTRALIA/156/2008	3
B	B/SOUTHAUSTRALIA/161/2008	3
B	B/SOUTHAUSTRALIA/17/2005	3
B	B/SOUTHAUSTRALIA/177/2008	3
B	B/SOUTHAUSTRALIA/18/2005	3
B	B/SOUTHAUSTRALIA/188/2008	3
B	B/SOUTHAUSTRALIA/2/2005	3
B	B/SOUTHAUSTRALIA/2/2006	3
B	B/SOUTHAUSTRALIA/20/2008	3
B	B/SOUTHAUSTRALIA/209/2007	3
B	B/SOUTHAUSTRALIA/211/2008	3
B	B/SOUTHAUSTRALIA/216/2008	3
B	B/SOUTHAUSTRALIA/222/2008	3
B	B/SOUTHAUSTRALIA/227/2008	3
B	B/SOUTHAUSTRALIA/231/2008	3
B	B/SOUTHAUSTRALIA/235/2008	3
B	B/SOUTHAUSTRALIA/236/2008	3
B	B/SOUTHAUSTRALIA/240/2008	3
B	B/SOUTHAUSTRALIA/251/2008	3
B	B/SOUTHAUSTRALIA/259/2008	3
B	B/SOUTHAUSTRALIA/262/2008	3
B	B/SOUTHAUSTRALIA/265/2008	3
B	B/SOUTHAUSTRALIA/53/2008	3
B	B/SOUTHAUSTRALIA/6/2004	3
B	B/SYDNEY/103/2008	3
B	B/SYDNEY/104/2008	3
B	B/SYDNEY/107/2008	3
B	B/SYDNEY/13/2000	3
B	B/SYDNEY/14/2006	3
B	B/SYDNEY/20/2002	3
B	B/SYDNEY/20/2006	3
B	B/SYDNEY/201/2010	3
B	B/SYDNEY/204/2006	3
B	B/SYDNEY/209/2006	3
B	B/SYDNEY/22/2002	3
B	B/SYDNEY/45/2002	3
B	B/SYDNEY/512/2010	3
B	B/SYDNEY/515/2008	3
B	B/SYDNEY/543-a/2008	3
B	B/SYDNEY/547/2008	3
B	B/SYDNEY/57/2008	3
B	B/SYDNEY/69/2008	3
B	B/SYDNEY/72/2002	3
B	B/TOWNSVILLE/2/2000	3
B	B/VICTORIA/303/2000	3
B	B/VICTORIA/305/2000	3
B	B/VICTORIA/305/2005	3
B	B/VICTORIA/306/2005	3
B	B/VICTORIA/307/2000	3
B	B/VICTORIA/308/2005	3
B	B/VICTORIA/326/2000	3
B	B/VICTORIA/329/2006	3
B	B/VICTORIA/504/2006	3
B	B/VICTORIA/510/2004	3
B	B/VICTORIA/527/2000	3
B	B/VICTORIA/529/2000	3
B	B/VICTORIA/540/2000	3
B	B/VICTORIA/805/2007	3
B	B/SYDNEY/210/2006	3.75
B	B/BRISBANE/15/2006	4
B	B/BRISBANE/150/2008	4
B	B/BRISBANE/16/2010	4
B	B/BRISBANE/168/2008	4
B	B/BRISBANE/25/2005	4
B	B/BRISBANE/37/2002	4
B	B/BRISBANE/4/2007	4
B	B/BRISBANE/45/2002	4
B	B/BRISBANE/46/2008	4
B	B/BRISBANE/5/2004	4
B	B/BRISBANE/51/2005	4
B	B/BRISBANE/54/2005	4
B	B/BRISBANE/57/2006	4
B	B/BRISBANE/57/2008	4
B	B/BRISBANE/60/2002	4
B	B/BRISBANE/62/2002	4
B	B/BRISBANE/86/2006	4
B	B/BRISBANE/88/2008	4
B	B/BRISBANE/91/2008	4
B	B/PERTH/110/2010	4
B	B/PERTH/127/2008	4
B	B/PERTH/143/2008	4
B	B/PERTH/160/2008	4
B	B/PERTH/164/2008	4
B	B/PERTH/184/2010	4
B	B/PERTH/189/2008	4
B	B/PERTH/189/2010	4
B	B/PERTH/201/2000	4
B	B/PERTH/202/2008	4
B	B/PERTH/209/2008	4
B	B/PERTH/213/2008	4
B	B/PERTH/214/2000	4
B	B/PERTH/214/2001	4
B	B/PERTH/214/2008	4
B	B/PERTH/238/2002	4
B	B/PERTH/256/2006	4
B	B/PERTH/261/2008	4
B	B/PERTH/295/2010	4
B	B/PERTH/297/2010	4
B	B/PERTH/49/2008	4
B	B/PERTH/68/2008	4
B	B/PERTH/87/2010	4
B	B/SOUTHAUSTRALIA/142/2008	4
B	B/SOUTHAUSTRALIA/143/2008	4
B	B/SOUTHAUSTRALIA/174/2008	4
B	B/SOUTHAUSTRALIA/185/2008	4
B	B/SOUTHAUSTRALIA/19/2006	4
B	B/SOUTHAUSTRALIA/19/2008	4
B	B/SOUTHAUSTRALIA/204/2007	4
B	B/SOUTHAUSTRALIA/228/2008	4
B	B/SOUTHAUSTRALIA/230/2008	4
B	B/SOUTHAUSTRALIA/242/2008	4
B	B/SOUTHAUSTRALIA/264/2008	4
B	B/SOUTHAUSTRALIA/3/2006	4
B	B/SOUTHAUSTRALIA/32/2008	4
B	B/SOUTHAUSTRALIA/54/2005	4
B	B/SOUTHAUSTRALIA/87/2008	4
B	B/SYDNEY/15/2005	4
B	B/SYDNEY/2004/2008	4
B	B/SYDNEY/218/2000	4
B	B/SYDNEY/221/2002	4
B	B/SYDNEY/29/2008	4
B	B/SYDNEY/33/2008	4
B	B/SYDNEY/4/2008	4
B	B/SYDNEY/504/2007	4
B	B/SYDNEY/506/2010	4
B	B/SYDNEY/507/2010	4
B	B/SYDNEY/6/2004	4
B	B/SYDNEY/66/2008	4
B	B/SYDNEY/70/2008	4
B	B/SYDNEY/88/2006	4
B	B/VICTORIA/110/2004	4
B	B/VICTORIA/309/2000	4
B	B/VICTORIA/331/2006	4
B	B/VICTORIA/333/2006	4
B	B/VICTORIA/500/2006	4
B	B/VICTORIA/502/2001	4
B	B/VICTORIA/504/2005	4
B	B/VICTORIA/508/2000	4
B	B/VICTORIA/508/2008	4
B	B/BRISBANE/10/2007	5
B	B/BRISBANE/104/2005	5
B	B/BRISBANE/11/2000	5
B	B/BRISBANE/11/2007	5
B	B/BRISBANE/12/2001	5
B	B/BRISBANE/136/2008	5
B	B/BRISBANE/20/2005	5
B	B/BRISBANE/22/2010	5
B	B/BRISBANE/23/2000	5
B	B/BRISBANE/27/2008	5
B	B/BRISBANE/28/2007	5
B	B/BRISBANE/31/2002	5
B	B/BRISBANE/35/2008	5
B	B/BRISBANE/4/2004	5
B	B/BRISBANE/4/2005	5
B	B/BRISBANE/41/2006	5
B	B/BRISBANE/48/2008	5
B	B/BRISBANE/51/2008	5
B	B/BRISBANE/59/2006	5
B	B/BRISBANE/6/2002	5
B	B/BRISBANE/61/2002	5
B	B/BRISBANE/64/2008	5
B	B/BRISBANE/68/2006	5
B	B/BRISBANE/72/2002	5
B	B/BRISBANE/73/2006	5
B	B/BRISBANE/81/2006	5
B	B/BRISBANE/85/2006	5
B	B/BRISBANE/95/2006	5
B	B/BRISBANE/95/2008	5
B	B/BRISBANE/99/2008	5
B	B/PERTH/119/2010	5
B	B/PERTH/141/2008	5
B	B/PERTH/168/2008	5
B	B/PERTH/174/2008	5
B	B/PERTH/178/2008	5
B	B/PERTH/212/2001	5
B	B/PERTH/218/2006	5
B	B/PERTH/232/2006	5
B	B/PERTH/249/2006	5
B	B/PERTH/400/2008	5
B	B/PERTH/78/2010	5
B	B/PERTH/96/2008	5
B	B/SOUTHAUSTRALIA/133/2008	5
B	B/SOUTHAUSTRALIA/139/2008	5
B	B/SOUTHAUSTRALIA/144/2008	5
B	B/SOUTHAUSTRALIA/16/2006	5
B	B/SOUTHAUSTRALIA/182/2008	5
B	B/SOUTHAUSTRALIA/191/2008	5
B	B/SOUTHAUSTRALIA/245/2008	5
B	B/SOUTHAUSTRALIA/25/2005	5
B	B/SOUTHAUSTRALIA/252/2008	5
B	B/SOUTHAUSTRALIA/4/2002	5
B	B/SOUTHAUSTRALIA/5/2001	5
B	B/SOUTHAUSTRALIA/63/2008	5
B	B/SOUTHAUSTRALIA/85/2008	5
B	B/SOUTHAUSTRALIA/93/2008	5
B	B/SOUTHAUSTRALIA/97/2008	5
B	B/SYDNEY/12/2000	5
B	B/SYDNEY/12/2006	5
B	B/SYDNEY/14/2000	5
B	B/SYDNEY/207/2002	5
B	B/SYDNEY/216/2002	5
B	B/SYDNEY/216/2002	5
B	B/SYDNEY/223/2000	5
B	B/SYDNEY/4/2009	5
B	B/SYDNEY/41/2002	5
B	B/SYDNEY/47/2002	5
B	B/SYDNEY/502/2007	5
B	B/SYDNEY/503/2007	5
B	B/SYDNEY/507/2006	5
B	B/SYDNEY/525/2008	5
B	B/SYDNEY/70/2002	5
B	B/SYDNEY/85/2008	5
B	B/SYDNEY/9/2000	5
B	B/VICTORIA/109/2004	5
B	B/VICTORIA/306/2006	5
B	B/VICTORIA/507/2011	5
B	B/VICTORIA/508/2002	5
B	B/VICTORIA/514/2007	5
B	B/VICTORIA/521/2008	5
B	B/BRISBANE/1/2004	6
B	B/BRISBANE/12/2008	6
B	B/BRISBANE/12/2011	6
B	B/BRISBANE/14/2004	6
B	B/BRISBANE/16/2008	6
B	B/BRISBANE/18/2006	6
B	B/BRISBANE/2/2008	6
B	B/BRISBANE/22/2006	6
B	B/BRISBANE/22/2008	6
B	B/BRISBANE/24/2006	6
B	B/BRISBANE/26/2008	6
B	B/BRISBANE/28/2005	6
B	B/BRISBANE/4/2001	6
B	B/BRISBANE/40/2010	6
B	B/BRISBANE/53/2005	6
B	B/BRISBANE/72/2008	6
B	B/BRISBANE/74/2006	6
B	B/BRISBANE/75/2005	6
B	B/BRISBANE/97/2005	6
B	B/DARWIN/19/2011	6
B	B/DARWIN/19/2011	6
B	B/PERTH/107/2008	6
B	B/PERTH/113/2008	6
B	B/PERTH/122/2008	6
B	B/PERTH/141/2010	6
B	B/PERTH/154/2010	6
B	B/PERTH/162/2008	6
B	B/PERTH/192/2008	6
B	B/PERTH/200/2002	6
B	B/PERTH/202/2005	6
B	B/PERTH/203/2000	6
B	B/PERTH/204/2000	6
B	B/PERTH/219/2001	6
B	B/PERTH/236/2006	6
B	B/PERTH/239/2008	6
B	B/PERTH/244/2002	6
B	B/PERTH/258/2010	6
B	B/PERTH/263/2006	6
B	B/PERTH/312/2010	6
B	B/PERTH/327/2010	6
B	B/PERTH/340/2010	6
B	B/PERTH/343/2010	6
B	B/PERTH/55/2008	6
B	B/PERTH/89/2008	6
B	B/PERTH/94/2008	6
B	B/SOUTHAUSTRALIA/120/2008	6
B	B/SOUTHAUSTRALIA/122/2008	6
B	B/SOUTHAUSTRALIA/13/2005	6
B	B/SOUTHAUSTRALIA/13/2008	6
B	B/SOUTHAUSTRALIA/145/2008	6
B	B/SOUTHAUSTRALIA/147/2008	6
B	B/SOUTHAUSTRALIA/155/2008	6
B	B/SOUTHAUSTRALIA/169/2008	6
B	B/SOUTHAUSTRALIA/172/2008	6
B	B/SOUTHAUSTRALIA/183/2008	6
B	B/SOUTHAUSTRALIA/192/2008	6
B	B/SOUTHAUSTRALIA/23/2011	6
B	B/SOUTHAUSTRALIA/24/2011	6
B	B/SOUTHAUSTRALIA/249/2008	6
B	B/SOUTHAUSTRALIA/3/2004	6
B	B/SOUTHAUSTRALIA/38/2008	6
B	B/SOUTHAUSTRALIA/4/2004	6
B	B/SOUTHAUSTRALIA/5/2004	6
B	B/SOUTHAUSTRALIA/51/2005	6
B	B/SOUTHAUSTRALIA/83/2008	6
B	B/SYDNEY/2002/2008	6
B	B/SYDNEY/201/2004	6
B	B/SYDNEY/23/2008	6
B	B/SYDNEY/28/2008	6
B	B/SYDNEY/32/2008	6
B	B/SYDNEY/5/2000	6
B	B/SYDNEY/508/2006	6
B	B/SYDNEY/526/2008	6
B	B/SYDNEY/532/2008	6
B	B/SYDNEY/54/2002	6
B	B/SYDNEY/540-a/2008	6
B	B/SYDNEY/7/2002	6
B	B/VICTORIA/110/2006	6
B	B/VICTORIA/302/2005	6
B	B/VICTORIA/302/2006	6
B	B/VICTORIA/308/2005	6
B	B/VICTORIA/309/2006	6
B	B/VICTORIA/310/2006	6
B	B/VICTORIA/312/2006	6
B	B/VICTORIA/318/2006	6
B	B/VICTORIA/328/2006	6
B	B/VICTORIA/500/2004	6
B	B/VICTORIA/503/2007	6
B	B/VICTORIA/504/2001	6
B	B/VICTORIA/508/2011	6
B	B/VICTORIA/513/2000	6
B	B/VICTORIA/516/2005	6
B	B/VICTORIA/517/2004	6
B	B/VICTORIA/530/2000	6
B	B/VICTORIA/102/2006	6.3
B	B/BRISBANE/1/2007	7
B	B/BRISBANE/10/2001	7
B	B/BRISBANE/108/2008	7
B	B/BRISBANE/109/2008	7
B	B/BRISBANE/149/2008	7
B	B/BRISBANE/15/2007	7
B	B/BRISBANE/158/2008	7
B	B/BRISBANE/16/2002	7
B	B/BRISBANE/18/2010	7
B	B/BRISBANE/19/2002	7
B	B/BRISBANE/37/2010	7
B	B/BRISBANE/41/2010	7
B	B/BRISBANE/42/2006	7
B	B/BRISBANE/43/2005	7
B	B/BRISBANE/50/2005	7
B	B/BRISBANE/6/2001	7
B	B/BRISBANE/63/2006	7
B	B/BRISBANE/67/2002	7
B	B/BRISBANE/76/2008	7
B	B/BRISBANE/88/2005	7
B	B/DARWIN/1/2010	7
B	B/PERTH/120/2008	7
B	B/PERTH/123/2008	7
B	B/PERTH/134/2010	7
B	B/PERTH/137/2008	7
B	B/PERTH/138/2010	7
B	B/PERTH/152/2010	7
B	B/PERTH/155/2008	7
B	B/PERTH/201/2005	7
B	B/PERTH/203/2010	7
B	B/PERTH/205/2008	7
B	B/PERTH/205/2008	7
B	B/PERTH/207/2006	7
B	B/PERTH/211/2008	7
B	B/PERTH/213/2006	7
B	B/PERTH/213/2008	7
B	B/PERTH/229/2006	7
B	B/PERTH/235/2006	7
B	B/PERTH/243/2002	7
B	B/PERTH/260/2006	7
B	B/PERTH/273/2008	7
B	B/PERTH/306/2010	7
B	B/SOUTHAUSTRALIA/10/2011	7
B	B/SOUTHAUSTRALIA/108/2008	7
B	B/SOUTHAUSTRALIA/11/2002	7
B	B/SOUTHAUSTRALIA/12/2001	7
B	B/SOUTHAUSTRALIA/12/2002	7
B	B/SOUTHAUSTRALIA/128/2008	7
B	B/SOUTHAUSTRALIA/14/2006	7
B	B/SOUTHAUSTRALIA/14/2008	7
B	B/SOUTHAUSTRALIA/148/2008	7
B	B/SOUTHAUSTRALIA/16/2005	7
B	B/SOUTHAUSTRALIA/180/2008	7
B	B/SOUTHAUSTRALIA/20/2005	7
B	B/SOUTHAUSTRALIA/221/2008	7
B	B/SOUTHAUSTRALIA/257/2008	7
